8C-1A-F3; 8C1AF3; Shenzhen Gooxi Information Security CO.,Ltd.; A District,5th Floor,Block A3,Digital Technology Park,Gaoxin South 7th Road,District of High-tech Industrial Park,Nanshan District , Shenzhen, Guangdong  Province; 518100; CN
F4-B6-C6; F4B6C6; Indra Heera Technology LLP; Narayan Colony, Old Police Line, Arrah; 802301; IN
A0-02-A5; A002A5; Intel Corporate; Lot 8, Jalan Hi-Tech 2/3; 09000; MY
8C-D5-4A; 8CD54A; TAIYO YUDEN CO.,LTD; 8-1, Sakae-cho; 370-8522; JP
A8-8B-28; A88B28; SHENZHEN DIYANG SMART TECHNOLOGY CO.,LTD.; Room 202, Building 4, Research & Creation Valley High-tech Incubation Park, Gongming Street, Guangming District, Shenzhen(www.diyangsmart.com); 518107; CN
C8-70-23; C87023; Altice Labs S.A.; NIF 504705610, Rua Eng. José Ferreira Pinto Basto; 3810-106; PT
70-98-83; 709883; SHENZHEN KAYAN ELECTRONICS., LTD.; ROOM 1801B1,HENGFANG TECHNOLOGY BUILDING, NO.4008,XINHU ROAD,YONGFENG COMMUNITY, BAO'AN DISTRICT,SHENZHEN; 518126; CN
74-5D-22; 745D22; LCFC(HeFei) Electronics Technology co., ltd; No.3188-1,YunGu Road(Comprehensive Bonded Zone),Hefei Economic and Technological Development Area; 230601; CN
E8-80-88; E88088; LCFC(HeFei) Electronics Technology co., ltd; No.3188-1,YunGu Road(Comprehensive Bonded Zone),Hefei Economic and Technological Development Area; 230601; CN
C4-79-9F; C4799F; Haiguang Smart Device Co.,Ltd.; Room 202,2nd.Floor,3rd.Building,Kuiqiao Road, No.2,Tangxia Town,Dongguan; 523000; CN
F4-3A-7B; F43A7B; zte corporation; 12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China; 518057; CN
68-9E-29; 689E29; zte corporation; 12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China; 518057; CN
6C-03-B5; 6C03B5; Cisco Systems, Inc; 80 West Tasman Drive; 94568; US
A8-91-62; A89162; Sophos Ltd; The Pentagon; 3YP; GB
E4-40-97; E44097; GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD; NO.18 HAIBIN ROAD,; 523860; CN
DC-B4-CA; DCB4CA; GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD; NO.18 HAIBIN ROAD,; 523860; CN
94-3B-B1; 943BB1; Kaon Group Co., Ltd.; KAONMEDIA Building 513-4; KOREA; KR
44-F0-34; 44F034; Kaon Group Co., Ltd.; 884-3, Seongnam-daero, Bundang-gu; 13517; KR
50-16-F4; 5016F4; Motorola Mobility LLC, a Lenovo Company; 222 West Merchandise Mart Plaza; 60654; US
3C-08-CD; 3C08CD; Juniper Networks; 1133 Innovation Way; 94089; US
88-8F-10; 888F10; Shenzhen Max Infinite Technology Co.,Ltd.; Room 908 Building 2, Aviation&Space Building, No.53 Gaoxin South 9th Road, Gaoxin Community, Yuehai Street,Nanshan District, Shenzhen; 518000; CN
68-50-5D; 68505D; Halo Technologies; 15775 Gateway Cir; 92780; US
